datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-11-01;57.0;54.0;13.0;39.0;70.0;72.0;35.0;40.0;10.0;5.0;64.0;0.0;48.0;73.0;40.0;51.0;53.0;37.0;74.0;110.0;79.0;49.0;73.0;126.0;87.0;98.0;97.0;65.0;66.0;40.0;8.0;10.0;11.0;11.0
2023-11-02;52.0;52.0;18.0;46.0;69.0;59.0;41.0;49.0;12.0;5.0;69.0;34.0;58.0;73.0;52.0;43.0;58.0;40.0;91.0;94.0;82.0;61.0;60.0;110.0;77.0;97.0;87.0;53.0;70.0;46.0;6.0;3.0;9.0;7.0
2023-11-03;57.0;56.0;18.0;43.0;59.0;60.0;32.0;44.0;10.0;1.0;54.0;44.0;44.0;64.0;32.0;41.0;53.0;41.0;74.0;74.0;76.0;57.0;53.0;107.0;43.0;80.0;80.0;52.0;13.0;33.0;8.0;5.0;12.0;10.0
2023-11-04;45.0;42.0;12.0;35.0;68.0;73.0;27.0;32.0;6.0;5.0;45.0;35.0;45.0;62.0;15.0;32.0;52.0;39.0;79.0;63.0;50.0;30.0;45.0;77.0;35.0;78.0;64.0;42.0;1.0;27.0;4.0;3.0;5.0;3.0
2023-11-05;2.0;26.0;12.0;40.0;72.0;73.0;32.0;36.0;2.0;0.0;49.0;37.0;54.0;67.0;21.0;32.0;49.0;28.0;77.0;31.0;55.0;21.0;41.0;59.0;19.0;64.0;22.0;34.0;0.0;29.0;7.0;2.0;6.0;5.0
2023-11-06;37.0;61.0;14.0;34.0;68.0;74.0;43.0;47.0;5.0;3.0;62.0;35.0;55.0;53.0;22.0;24.0;57.0;41.0;75.0;68.0;76.0;21.0;41.0;70.0;56.0;70.0;63.0;66.0;39.0;34.0;10.0;11.0;8.0;11.0
2023-11-07;44.0;62.0;20.0;45.0;78.0;72.0;42.0;38.0;5.0;6.0;53.0;41.0;54.0;74.0;25.0;23.0;49.0;45.0;88.0;111.0;79.0;9.0;39.0;63.0;53.0;53.0;81.0;62.0;80.0;38.0;11.0;10.0;8.0;11.0
2023-11-08;57.0;67.0;14.0;43.0;69.0;69.0;31.0;41.0;5.0;1.0;69.0;51.0;43.0;69.0;25.0;24.0;46.0;38.0;94.0;124.0;82.0;4.0;48.0;73.0;72.0;95.0;111.0;54.0;75.0;38.0;10.0;6.0;4.0;8.0
2023-11-09;53.0;58.0;15.0;32.0;80.0;61.0;34.0;42.0;5.0;4.0;64.0;45.0;44.0;65.0;23.0;29.0;47.0;45.0;76.0;129.0;70.0;30.0;39.0;91.0;61.0;104.0;108.0;74.0;74.0;30.0;9.0;6.0;10.0;8.0
2023-11-10;55.0;59.0;14.0;29.0;73.0;82.0;28.0;39.0;5.0;4.0;64.0;43.0;68.0;70.0;13.0;22.0;50.0;36.0;79.0;105.0;73.0;40.0;25.0;100.0;42.0;91.0;108.0;58.0;66.0;30.0;7.0;2.0;9.0;9.0
2023-11-11;48.0;67.0;18.0;37.0;72.0;72.0;29.0;40.0;5.0;4.0;72.0;43.0;59.0;65.0;11.0;22.0;39.0;47.0;78.0;97.0;83.0;31.0;37.0;103.0;47.0;99.0;97.0;60.0;79.0;2.0;7.0;3.0;5.0;6.0
2023-11-12;41.0;63.0;12.0;30.0;63.0;71.0;23.0;29.0;4.0;3.0;61.0;32.0;49.0;39.0;8.0;20.0;41.0;40.0;86.0;95.0;67.0;36.0;34.0;109.0;43.0;92.0;93.0;65.0;64.0;0.0;5.0;1.0;4.0;1.0
2023-11-13;32.0;66.0;19.0;37.0;58.0;75.0;36.0;46.0;10.0;6.0;58.0;43.0;61.0;78.0;20.0;32.0;30.0;44.0;70.0;127.0;94.0;35.0;45.0;108.0;46.0;98.0;47.0;78.0;90.0;0.0;7.0;6.0;9.0;6.0
2023-11-14;46.0;64.0;10.0;49.0;70.0;76.0;28.0;50.0;1.0;5.0;55.0;67.0;49.0;90.0;38.0;33.0;27.0;35.0;70.0;120.0;101.0;33.0;33.0;99.0;54.0;112.0;7.0;75.0;71.0;0.0;5.0;4.0;6.0;10.0
2023-11-15;47.0;60.0;15.0;38.0;72.0;83.0;26.0;61.0;7.0;7.0;58.0;53.0;54.0;90.0;37.0;29.0;32.0;46.0;78.0;103.0;99.0;38.0;35.0;94.0;47.0;104.0;85.0;53.0;82.0;0.0;9.0;6.0;11.0;10.0
2023-11-16;56.0;65.0;20.0;39.0;81.0;79.0;25.0;53.0;9.0;1.0;58.0;53.0;71.0;87.0;21.0;19.0;34.0;54.0;76.0;113.0;67.0;32.0;33.0;66.0;48.0;82.0;106.0;61.0;75.0;0.0;9.0;6.0;7.0;6.0
