datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-10-01;19.0;44.0;3.0;33.0;68.0;71.0;35.0;40.0;10.0;7.0;44.0;42.0;59.0;81.0;38.0;45.0;60.0;46.0;103.0;110.0;57.0;51.0;0.0;105.0;43.0;69.0;100.0;44.0;63.0;28.0;1.0;3.0;6.0;2.0
2023-10-02;24.0;48.0;10.0;41.0;69.0;80.0;55.0;43.0;9.0;8.0;62.0;56.0;67.0;90.0;44.0;49.0;66.0;48.0;107.0;112.0;74.0;60.0;47.0;122.0;44.0;84.0;100.0;46.0;97.0;37.0;3.0;6.0;13.0;11.0
2023-10-03;23.0;44.0;15.0;39.0;67.0;79.0;48.0;45.0;11.0;6.0;62.0;56.0;64.0;82.0;37.0;43.0;60.0;45.0;92.0;103.0;67.0;72.0;63.0;118.0;56.0;76.0;108.0;43.0;81.0;38.0;7.0;6.0;13.0;11.0
2023-10-04;28.0;57.0;11.0;41.0;75.0;92.0;43.0;45.0;9.0;6.0;56.0;48.0;54.0;91.0;34.0;42.0;56.0;36.0;112.0;114.0;56.0;57.0;59.0;131.0;69.0;92.0;103.0;54.0;89.0;44.0;8.0;5.0;11.0;14.0
2023-10-05;34.0;64.0;12.0;33.0;74.0;81.0;44.0;47.0;12.0;5.0;69.0;48.0;52.0;93.0;36.0;39.0;67.0;44.0;121.0;144.0;76.0;22.0;68.0;121.0;66.0;78.0;135.0;48.0;95.0;47.0;8.0;10.0;10.0;12.0
2023-10-06;34.0;58.0;11.0;36.0;67.0;77.0;44.0;51.0;9.0;10.0;49.0;69.0;50.0;81.0;40.0;53.0;62.0;55.0;97.0;119.0;93.0;42.0;69.0;109.0;67.0;94.0;121.0;73.0;79.0;41.0;6.0;12.0;12.0;11.0
2023-10-07;32.0;53.0;9.0;42.0;58.0;90.0;38.0;38.0;11.0;7.0;59.0;55.0;42.0;80.0;36.0;46.0;62.0;59.0;82.0;130.0;90.0;70.0;52.0;37.0;69.0;75.0;102.0;50.0;76.0;52.0;6.0;12.0;6.0;3.0
2023-10-08;31.0;48.0;11.0;22.0;67.0;60.0;37.0;29.0;10.0;10.0;63.0;46.0;32.0;97.0;33.0;44.0;42.0;0.0;96.0;113.0;58.0;53.0;45.0;0.0;37.0;91.0;102.0;44.0;72.0;46.0;6.0;5.0;6.0;5.0
2023-10-09;39.0;56.0;8.0;33.0;70.0;88.0;46.0;33.0;9.0;5.0;49.0;56.0;55.0;84.0;44.0;44.0;52.0;58.0;107.0;131.0;113.0;60.0;52.0;107.0;65.0;80.0;104.0;41.0;85.0;47.0;7.0;9.0;7.0;10.0
2023-10-10;49.0;59.0;9.0;42.0;71.0;89.0;43.0;38.0;12.0;3.0;66.0;58.0;30.0;79.0;50.0;47.0;57.0;49.0;107.0;134.0;93.0;57.0;48.0;137.0;64.0;80.0;117.0;45.0;88.0;34.0;6.0;7.0;10.0;11.0
2023-10-11;43.0;57.0;11.0;41.0;66.0;99.0;48.0;43.0;13.0;2.0;53.0;43.0;43.0;82.0;53.0;55.0;53.0;53.0;108.0;127.0;83.0;67.0;57.0;126.0;73.0;78.0;125.0;43.0;100.0;33.0;8.0;2.0;7.0;10.0
2023-10-12;42.0;53.0;12.0;31.0;75.0;89.0;54.0;37.0;9.0;11.0;60.0;61.0;54.0;82.0;66.0;48.0;58.0;63.0;113.0;130.0;82.0;61.0;66.0;129.0;79.0;77.0;117.0;50.0;88.0;48.0;7.0;10.0;5.0;8.0
