datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-11-01;53.0;45.0;13.0;34.0;61.0;65.0;34.0;37.0;9.0;4.0;55.0;0.0;44.0;61.0;35.0;44.0;47.0;34.0;57.0;96.0;74.0;45.0;55.0;110.0;68.0;88.0;74.0;51.0;58.0;36.0;8.0;10.0;11.0;11.0
2023-11-02;46.0;47.0;16.0;40.0;60.0;50.0;38.0;39.0;10.0;5.0;52.0;29.0;47.0;62.0;36.0;41.0;56.0;35.0;79.0;86.0;72.0;55.0;46.0;98.0;66.0;84.0;70.0;44.0;59.0;41.0;6.0;3.0;9.0;7.0
2023-11-03;53.0;53.0;16.0;36.0;53.0;56.0;30.0;38.0;10.0;1.0;44.0;40.0;39.0;55.0;27.0;33.0;45.0;40.0;58.0;68.0;68.0;43.0;45.0;90.0;39.0;74.0;68.0;48.0;12.0;33.0;8.0;5.0;12.0;10.0
2023-11-04;40.0;39.0;10.0;31.0;61.0;62.0;26.0;30.0;6.0;4.0;39.0;31.0;39.0;58.0;15.0;29.0;47.0;36.0;62.0;53.0;48.0;25.0;35.0;62.0;31.0;67.0;51.0;40.0;1.0;23.0;4.0;3.0;5.0;3.0
2023-11-05;2.0;22.0;12.0;32.0;65.0;59.0;29.0;34.0;2.0;0.0;40.0;34.0;44.0;51.0;18.0;29.0;45.0;27.0;68.0;30.0;47.0;16.0;33.0;52.0;16.0;57.0;21.0;32.0;0.0;26.0;7.0;2.0;6.0;5.0
2023-11-06;33.0;54.0;13.0;31.0;65.0;66.0;39.0;39.0;4.0;3.0;48.0;32.0;41.0;43.0;22.0;23.0;52.0;39.0;63.0;60.0;57.0;21.0;36.0;54.0;53.0;60.0;58.0;56.0;32.0;30.0;9.0;11.0;8.0;11.0
2023-11-07;43.0;50.0;17.0;32.0;70.0;67.0;40.0;35.0;5.0;6.0;46.0;36.0;47.0;56.0;21.0;23.0;47.0;43.0;70.0;98.0;64.0;8.0;38.0;56.0;48.0;50.0;64.0;49.0;69.0;38.0;10.0;10.0;8.0;11.0
2023-11-08;49.0;61.0;14.0;37.0;61.0;65.0;29.0;41.0;5.0;1.0;52.0;45.0;39.0;61.0;23.0;23.0;42.0;36.0;81.0;108.0;72.0;4.0;36.0;68.0;56.0;84.0;82.0;45.0;62.0;37.0;10.0;6.0;4.0;7.0
2023-11-09;51.0;55.0;15.0;27.0;70.0;56.0;33.0;36.0;5.0;4.0;48.0;39.0;41.0;60.0;22.0;25.0;43.0;38.0;67.0;110.0;64.0;26.0;34.0;68.0;52.0;96.0;83.0;60.0;61.0;28.0;8.0;6.0;10.0;8.0
2023-11-10;47.0;54.0;13.0;27.0;63.0;65.0;27.0;36.0;5.0;4.0;52.0;37.0;60.0;62.0;13.0;21.0;45.0;33.0;64.0;94.0;66.0;37.0;24.0;86.0;38.0;77.0;84.0;50.0;56.0;27.0;7.0;2.0;9.0;8.0
