datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-10-01;18.0;36.0;3.0;28.0;59.0;56.0;30.0;32.0;9.0;7.0;36.0;38.0;47.0;72.0;31.0;40.0;55.0;38.0;88.0;95.0;50.0;33.0;0.0;78.0;41.0;63.0;72.0;37.0;51.0;25.0;1.0;3.0;6.0;2.0
2023-10-02;23.0;44.0;9.0;38.0;65.0;72.0;46.0;38.0;9.0;8.0;48.0;51.0;62.0;79.0;38.0;44.0;60.0;42.0;93.0;102.0;59.0;50.0;44.0;103.0;42.0;75.0;80.0;40.0;74.0;35.0;3.0;5.0;13.0;11.0
2023-10-03;23.0;40.0;13.0;31.0;61.0;70.0;46.0;39.0;10.0;6.0;50.0;50.0;60.0;71.0;35.0;39.0;58.0;36.0;78.0;97.0;55.0;51.0;56.0;95.0;51.0;69.0;80.0;37.0;69.0;37.0;7.0;6.0;11.0;11.0
2023-10-04;28.0;46.0;10.0;36.0;67.0;64.0;40.0;39.0;9.0;6.0;50.0;38.0;45.0;75.0;34.0;39.0;51.0;34.0;91.0;105.0;51.0;42.0;51.0;105.0;60.0;82.0;85.0;44.0;68.0;41.0;8.0;5.0;10.0;12.0
2023-10-05;29.0;55.0;12.0;32.0;66.0;70.0;35.0;42.0;12.0;4.0;57.0;44.0;46.0;78.0;33.0;33.0;54.0;39.0;99.0;120.0;67.0;21.0;55.0;96.0;63.0;66.0;98.0;41.0;84.0;44.0;8.0;10.0;10.0;12.0
2023-10-06;33.0;53.0;9.0;35.0;59.0;72.0;40.0;42.0;9.0;8.0;42.0;60.0;46.0;65.0;37.0;46.0;60.0;49.0;80.0;109.0;74.0;35.0;62.0;94.0;61.0;86.0;103.0;56.0;62.0;40.0;6.0;11.0;12.0;11.0
2023-10-07;32.0;48.0;9.0;35.0;50.0;72.0;37.0;33.0;9.0;7.0;46.0;44.0;41.0;67.0;33.0;39.0;55.0;52.0;68.0;109.0;71.0;49.0;50.0;30.0;52.0;71.0;79.0;43.0;59.0;44.0;6.0;11.0;6.0;3.0
2023-10-08;25.0;39.0;11.0;18.0;58.0;49.0;34.0;26.0;9.0;9.0;46.0;39.0;30.0;72.0;24.0;37.0;39.0;0.0;75.0;90.0;46.0;45.0;41.0;0.0;32.0;68.0;76.0;35.0;61.0;38.0;6.0;5.0;6.0;5.0
2023-10-09;32.0;50.0;8.0;27.0;63.0;75.0;41.0;31.0;9.0;5.0;38.0;46.0;47.0;72.0;41.0;38.0;49.0;43.0;81.0;116.0;81.0;53.0;46.0;79.0;47.0;75.0;88.0;38.0;65.0;45.0;7.0;9.0;7.0;9.0
2023-10-10;38.0;55.0;9.0;34.0;66.0;77.0;39.0;34.0;10.0;3.0;50.0;50.0;28.0;65.0;47.0;41.0;53.0;42.0;88.0;119.0;72.0;44.0;45.0;109.0;51.0;69.0;93.0;36.0;71.0;34.0;6.0;7.0;10.0;11.0
2023-10-11;40.0;50.0;11.0;34.0;56.0;72.0;42.0;34.0;12.0;2.0;46.0;40.0;41.0;68.0;46.0;47.0;50.0;36.0;83.0;117.0;67.0;57.0;47.0;108.0;59.0;70.0;84.0;37.0;76.0;30.0;8.0;2.0;7.0;10.0
2023-10-12;37.0;48.0;10.0;30.0;64.0;63.0;44.0;35.0;8.0;11.0;50.0;49.0;52.0;69.0;50.0;38.0;49.0;57.0;90.0;112.0;68.0;51.0;58.0;104.0;61.0;72.0;86.0;42.0;71.0;48.0;7.0;10.0;5.0;8.0
2023-10-13;38.0;40.0;11.0;26.0;60.0;66.0;42.0;40.0;11.0;12.0;55.0;40.0;44.0;62.0;36.0;42.0;50.0;63.0;71.0;121.0;69.0;40.0;48.0;99.0;55.0;82.0;89.0;42.0;66.0;35.0;10.0;6.0;4.0;7.0
2023-10-14;30.0;37.0;9.0;28.0;56.0;61.0;38.0;37.0;8.0;6.0;50.0;40.0;38.0;55.0;33.0;40.0;40.0;41.0;74.0;95.0;56.0;35.0;59.0;102.0;62.0;61.0;78.0;37.0;58.0;28.0;3.0;4.0;3.0;4.0
2023-10-15;12.0;33.0;9.0;21.0;51.0;44.0;29.0;28.0;11.0;4.0;48.0;34.0;19.0;52.0;20.0;37.0;46.0;38.0;62.0;97.0;42.0;35.0;51.0;75.0;47.0;60.0;81.0;33.0;54.0;26.0;2.0;1.0;6.0;1.0
2023-10-16;17.0;46.0;14.0;32.0;63.0;62.0;37.0;38.0;9.0;8.0;48.0;55.0;30.0;62.0;39.0;37.0;42.0;50.0;84.0;109.0;61.0;42.0;64.0;112.0;62.0;70.0;89.0;45.0;50.0;41.0;8.0;7.0;4.0;6.0
2023-10-17;18.0;47.0;13.0;32.0;70.0;76.0;39.0;42.0;9.0;11.0;51.0;50.0;43.0;68.0;34.0;35.0;48.0;51.0;68.0;99.0;77.0;46.0;51.0;123.0;67.0;71.0;72.0;43.0;65.0;25.0;8.0;6.0;2.0;6.0
2023-10-18;32.0;61.0;12.0;37.0;62.0;73.0;33.0;36.0;11.0;8.0;55.0;47.0;48.0;82.0;46.0;34.0;47.0;47.0;58.0;110.0;66.0;46.0;68.0;110.0;68.0;75.0;82.0;47.0;70.0;38.0;6.0;5.0;4.0;6.0
2023-10-19;41.0;56.0;12.0;38.0;61.0;70.0;38.0;40.0;11.0;4.0;46.0;44.0;41.0;68.0;38.0;34.0;55.0;44.0;80.0;101.0;56.0;34.0;47.0;116.0;59.0;71.0;90.0;38.0;67.0;38.0;8.0;5.0;3.0;9.0
2023-10-20;42.0;56.0;14.0;33.0;57.0;60.0;34.0;42.0;7.0;10.0;47.0;46.0;39.0;62.0;38.0;34.0;59.0;48.0;71.0;107.0;60.0;47.0;54.0;101.0;60.0;67.0;95.0;48.0;58.0;40.0;7.0;3.0;2.0;7.0
2023-10-21;27.0;49.0;11.0;26.0;46.0;56.0;25.0;29.0;9.0;12.0;44.0;47.0;43.0;57.0;23.0;36.0;53.0;39.0;76.0;102.0;63.0;44.0;55.0;92.0;49.0;67.0;71.0;38.0;45.0;24.0;5.0;2.0;4.0;2.0
2023-10-22;18.0;46.0;12.0;27.0;49.0;51.0;28.0;21.0;10.0;7.0;43.0;32.0;39.0;61.0;22.0;36.0;36.0;4.0;59.0;94.0;64.0;35.0;43.0;77.0;44.0;54.0;78.0;42.0;43.0;1.0;2.0;0.0;6.0;1.0
2023-10-23;39.0;47.0;21.0;31.0;66.0;73.0;35.0;38.0;11.0;12.0;56.0;41.0;41.0;74.0;41.0;36.0;44.0;31.0;81.0;97.0;64.0;48.0;53.0;107.0;54.0;58.0;95.0;42.0;64.0;15.0;6.0;4.0;5.0;6.0
2023-10-24;49.0;49.0;13.0;32.0;70.0;59.0;32.0;42.0;11.0;6.0;59.0;34.0;39.0;65.0;39.0;37.0;43.0;42.0;59.0;81.0;65.0;38.0;48.0;111.0;52.0;51.0;92.0;33.0;64.0;0.0;8.0;1.0;6.0;8.0
2023-10-25;56.0;61.0;15.0;38.0;65.0;56.0;31.0;38.0;11.0;5.0;55.0;52.0;46.0;63.0;35.0;46.0;44.0;39.0;80.0;109.0;50.0;48.0;48.0;117.0;48.0;61.0;78.0;45.0;51.0;0.0;5.0;4.0;9.0;9.0
2023-10-26;53.0;46.0;13.0;28.0;53.0;68.0;34.0;34.0;8.0;4.0;57.0;41.0;26.0;70.0;32.0;41.0;45.0;50.0;78.0;107.0;61.0;42.0;55.0;136.0;72.0;55.0;84.0;54.0;65.0;8.0;8.0;6.0;10.0;7.0
2023-10-27;47.0;41.0;15.0;27.0;63.0;58.0;41.0;38.0;9.0;2.0;50.0;45.0;28.0;64.0;35.0;44.0;38.0;44.0;76.0;104.0;56.0;36.0;56.0;120.0;45.0;67.0;72.0;50.0;57.0;37.0;7.0;8.0;4.0;10.0
2023-10-28;39.0;37.0;9.0;32.0;57.0;55.0;5.0;32.0;10.0;0.0;39.0;46.0;26.0;43.0;35.0;36.0;41.0;26.0;59.0;97.0;64.0;35.0;47.0;97.0;55.0;68.0;71.0;56.0;53.0;4.0;8.0;5.0;8.0;5.0
2023-10-29;37.0;3.0;2.0;27.0;59.0;60.0;28.0;30.0;5.0;0.0;38.0;31.0;24.0;63.0;34.0;28.0;45.0;24.0;56.0;81.0;45.0;31.0;42.0;67.0;44.0;55.0;60.0;49.0;49.0;18.0;3.0;6.0;5.0;1.0
2023-10-30;42.0;37.0;13.0;29.0;58.0;64.0;39.0;41.0;11.0;11.0;53.0;33.0;20.0;60.0;43.0;33.0;38.0;30.0;57.0;87.0;74.0;31.0;58.0;98.0;67.0;75.0;70.0;52.0;52.0;7.0;6.0;9.0;11.0;6.0
2023-10-31;48.0;38.0;7.0;27.0;52.0;56.0;35.0;39.0;12.0;5.0;43.0;24.0;37.0;59.0;35.0;34.0;45.0;25.0;58.0;74.0;62.0;34.0;48.0;91.0;64.0;83.0;70.0;53.0;55.0;20.0;6.0;6.0;7.0;6.0
