datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-12-01;45.0;64.0;8.0;32.0;66.0;57.0;11.0;37.0;10.0;4.0;45.0;24.0;39.0;67.0;13.0;22.0;26.0;30.0;58.0;75.0;45.0;30.0;34.0;37.0;22.0;72.0;70.0;1.0;41.0;19.0;4.0;2.0;4.0;1.0
2023-12-02;33.0;60.0;8.0;33.0;56.0;57.0;11.0;34.0;12.0;4.0;49.0;23.0;44.0;59.0;18.0;17.0;13.0;25.0;55.0;81.0;57.0;23.0;34.0;52.0;28.0;77.0;63.0;0.0;47.0;14.0;4.0;0.0;6.0;4.0
2023-12-03;39.0;54.0;5.0;33.0;53.0;49.0;10.0;35.0;11.0;5.0;32.0;28.0;49.0;55.0;19.0;19.0;10.0;24.0;50.0;60.0;44.0;24.0;38.0;49.0;23.0;51.0;48.0;0.0;39.0;19.0;3.0;3.0;3.0;2.0
2023-12-04;52.0;61.0;12.0;41.0;67.0;52.0;11.0;50.0;12.0;2.0;49.0;30.0;50.0;51.0;13.0;18.0;12.0;26.0;55.0;89.0;51.0;30.0;44.0;55.0;32.0;80.0;70.0;0.0;52.0;14.0;5.0;4.0;2.0;5.0
2023-12-05;49.0;58.0;11.0;28.0;60.0;62.0;8.0;38.0;11.0;1.0;51.0;33.0;58.0;59.0;17.0;23.0;12.0;30.0;52.0;86.0;49.0;34.0;34.0;75.0;7.0;72.0;71.0;0.0;60.0;24.0;3.0;3.0;0.0;4.0
2023-12-06;47.0;56.0;8.0;21.0;64.0;64.0;5.0;43.0;12.0;0.0;42.0;24.0;57.0;51.0;26.0;19.0;30.0;28.0;47.0;87.0;59.0;24.0;29.0;80.0;36.0;72.0;71.0;0.0;53.0;29.0;4.0;3.0;2.0;5.0
2023-12-07;44.0;64.0;11.0;29.0;53.0;63.0;12.0;45.0;8.0;2.0;45.0;15.0;55.0;41.0;33.0;15.0;36.0;32.0;46.0;86.0;57.0;24.0;25.0;53.0;32.0;65.0;70.0;0.0;57.0;24.0;2.0;4.0;9.0;6.0
2023-12-08;45.0;65.0;14.0;34.0;58.0;53.0;9.0;40.0;6.0;6.0;46.0;16.0;51.0;60.0;30.0;32.0;35.0;29.0;53.0;92.0;44.0;15.0;22.0;70.0;30.0;62.0;70.0;0.0;60.0;13.0;0.0;3.0;6.0;2.0
2023-12-09;38.0;63.0;8.0;30.0;44.0;57.0;7.0;30.0;8.0;4.0;50.0;16.0;57.0;60.0;21.0;23.0;34.0;33.0;47.0;76.0;52.0;16.0;25.0;70.0;23.0;50.0;56.0;0.0;51.0;0.0;0.0;1.0;6.0;1.0
2023-12-10;31.0;51.0;7.0;28.0;41.0;40.0;4.0;27.0;5.0;5.0;32.0;23.0;48.0;58.0;19.0;23.0;25.0;29.0;37.0;60.0;36.0;19.0;20.0;57.0;18.0;52.0;54.0;0.0;39.0;0.0;0.0;1.0;4.0;1.0
