datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-11-01;49.0;43.0;13.0;31.0;51.0;60.0;30.0;34.0;9.0;3.0;48.0;0.0;42.0;53.0;31.0;39.0;44.0;33.0;51.0;87.0;65.0;39.0;49.0;93.0;60.0;76.0;66.0;44.0;49.0;34.0;7.0;9.0;9.0;10.0
2023-11-02;43.0;46.0;15.0;37.0;50.0;45.0;36.0;36.0;9.0;4.0;46.0;25.0;44.0;56.0;35.0;35.0;52.0;31.0;67.0;76.0;66.0;49.0;40.0;82.0;56.0;76.0;58.0;39.0;56.0;38.0;6.0;3.0;9.0;7.0
2023-11-03;50.0;49.0;15.0;34.0;49.0;50.0;27.0;35.0;10.0;1.0;35.0;34.0;38.0;47.0;25.0;30.0;41.0;34.0;54.0;66.0;64.0;36.0;43.0;76.0;37.0;67.0;54.0;42.0;10.0;30.0;8.0;5.0;12.0;10.0
2023-11-04;34.0;37.0;8.0;27.0;54.0;55.0;22.0;27.0;6.0;3.0;32.0;27.0;34.0;51.0;15.0;26.0;44.0;33.0;56.0;50.0;47.0;22.0;35.0;56.0;28.0;60.0;38.0;35.0;1.0;21.0;4.0;3.0;4.0;3.0
2023-11-05;1.0;22.0;11.0;27.0;58.0;50.0;26.0;33.0;2.0;0.0;32.0;29.0;38.0;45.0;16.0;24.0;42.0;26.0;59.0;30.0;39.0;14.0;29.0;46.0;16.0;54.0;18.0;27.0;0.0;25.0;7.0;2.0;6.0;4.0
2023-11-06;30.0;51.0;12.0;30.0;56.0;55.0;36.0;39.0;4.0;2.0;43.0;28.0;39.0;40.0;18.0;23.0;47.0;38.0;55.0;57.0;55.0;21.0;35.0;47.0;46.0;58.0;50.0;53.0;30.0;25.0;8.0;11.0;7.0;10.0
2023-11-07;41.0;49.0;16.0;31.0;61.0;59.0;36.0;35.0;5.0;6.0;39.0;30.0;45.0;49.0;20.0;22.0;43.0;40.0;61.0;87.0;56.0;8.0;36.0;52.0;42.0;48.0;55.0;43.0;59.0;38.0;10.0;9.0;8.0;11.0
2023-11-08;46.0;55.0;13.0;33.0;59.0;52.0;28.0;37.0;5.0;1.0;38.0;40.0;37.0;54.0;18.0;20.0;39.0;33.0;68.0;105.0;63.0;4.0;33.0;59.0;54.0;77.0;63.0;41.0;56.0;36.0;9.0;6.0;4.0;7.0
2023-11-09;45.0;52.0;13.0;24.0;63.0;51.0;29.0;33.0;5.0;3.0;42.0;37.0;41.0;55.0;21.0;24.0;41.0;30.0;57.0;107.0;60.0;22.0;29.0;64.0;47.0;89.0;73.0;52.0;55.0;22.0;8.0;6.0;10.0;7.0
2023-11-10;45.0;50.0;12.0;26.0;57.0;57.0;26.0;34.0;5.0;4.0;46.0;34.0;54.0;52.0;13.0;19.0;40.0;30.0;57.0;82.0;59.0;30.0;21.0;79.0;34.0;72.0;79.0;46.0;53.0;26.0;7.0;2.0;9.0;7.0
2023-11-11;37.0;45.0;17.0;32.0;54.0;48.0;26.0;33.0;5.0;3.0;43.0;35.0;44.0;39.0;11.0;18.0;34.0;38.0;60.0;77.0;64.0;25.0;35.0;73.0;39.0;80.0;66.0;43.0;59.0;2.0;7.0;3.0;5.0;6.0
2023-11-12;28.0;51.0;9.0;21.0;46.0;57.0;21.0;21.0;4.0;2.0;33.0;24.0;33.0;31.0;8.0;17.0;38.0;34.0;51.0;61.0;48.0;24.0;29.0;75.0;31.0;76.0;61.0;48.0;49.0;0.0;5.0;1.0;4.0;1.0
2023-11-13;26.0;53.0;16.0;33.0;51.0;59.0;29.0;38.0;8.0;4.0;35.0;36.0;46.0;59.0;14.0;29.0;25.0;39.0;59.0;92.0;71.0;28.0;39.0;77.0;40.0;82.0;39.0;51.0;63.0;0.0;7.0;6.0;9.0;6.0
2023-11-14;38.0;52.0;10.0;37.0;56.0;56.0;25.0;38.0;1.0;4.0;36.0;39.0;47.0;62.0;26.0;29.0;25.0;33.0;56.0;96.0;74.0;27.0;29.0;78.0;43.0;80.0;7.0;43.0;51.0;0.0;5.0;4.0;4.0;10.0
2023-11-15;38.0;47.0;13.0;29.0;58.0;59.0;24.0;46.0;7.0;4.0;38.0;38.0;42.0;68.0;28.0;25.0;31.0;35.0;56.0;85.0;70.0;32.0;31.0;67.0;33.0;74.0;58.0;41.0;58.0;0.0;9.0;5.0;11.0;9.0
2023-11-16;47.0;56.0;16.0;28.0;54.0;57.0;23.0;42.0;9.0;1.0;40.0;40.0;47.0;65.0;18.0;17.0;30.0;35.0;59.0;81.0;51.0;25.0;28.0;56.0;33.0;71.0;72.0;51.0;54.0;0.0;8.0;5.0;7.0;5.0
