datetukar;BS007;BS011;BS016;BS059;BS060;BS061;BS084;BS086;BS087;BS097;BS102;BS105;BS121;BS126;BS128;BS137;BS142;BS151;BS162;BS199;BS218;BS221;BS229;BS233;BS247;BS253;BS259;BS264;BS268;BS270;BS279;BS284;BS289;BS290
2023-10-01;16.0;34.0;3.0;25.0;54.0;43.0;28.0;26.0;9.0;4.0;28.0;36.0;41.0;61.0;29.0;38.0;48.0;33.0;75.0;85.0;42.0;27.0;0.0;69.0;34.0;57.0;57.0;32.0;43.0;25.0;1.0;3.0;6.0;1.0
2023-10-02;23.0;44.0;8.0;36.0;54.0;62.0;41.0;33.0;8.0;5.0;41.0;47.0;56.0;64.0;37.0;39.0;55.0;38.0;81.0;93.0;47.0;47.0;40.0;94.0;36.0;71.0;70.0;38.0;65.0;31.0;3.0;5.0;13.0;11.0
2023-10-03;22.0;36.0;11.0;28.0;55.0;63.0;39.0;37.0;10.0;4.0;44.0;43.0;56.0;61.0;33.0;35.0;53.0;35.0;67.0;87.0;51.0;42.0;52.0;86.0;44.0;68.0;66.0;32.0;57.0;33.0;5.0;6.0;10.0;11.0
2023-10-04;26.0;42.0;10.0;31.0;60.0;58.0;36.0;37.0;9.0;4.0;43.0;35.0;42.0;61.0;31.0;33.0;45.0;33.0;75.0;95.0;46.0;38.0;49.0;90.0;49.0;76.0;73.0;36.0;61.0;40.0;8.0;5.0;10.0;11.0
2023-10-05;28.0;54.0;11.0;27.0;58.0;52.0;34.0;36.0;12.0;3.0;47.0;39.0;45.0;66.0;31.0;31.0;49.0;34.0;81.0;100.0;57.0;19.0;49.0;86.0;56.0;60.0;86.0;35.0;72.0;40.0;8.0;9.0;10.0;12.0
2023-10-06;33.0;49.0;9.0;31.0;54.0;64.0;38.0;40.0;8.0;7.0;35.0;53.0;41.0;57.0;36.0;37.0;55.0;47.0;65.0;96.0;68.0;29.0;58.0;81.0;56.0;78.0;87.0;48.0;52.0;36.0;6.0;9.0;12.0;10.0
2023-10-07;31.0;47.0;9.0;31.0;46.0;63.0;32.0;28.0;9.0;7.0;39.0;36.0;38.0;59.0;30.0;33.0;50.0;44.0;58.0;103.0;67.0;43.0;45.0;29.0;44.0;62.0;66.0;37.0;46.0;41.0;6.0;10.0;6.0;3.0
2023-10-08;22.0;37.0;11.0;18.0;48.0;44.0;28.0;25.0;8.0;7.0;34.0;31.0;29.0;60.0;23.0;34.0;33.0;0.0;60.0;81.0;42.0;36.0;36.0;0.0;29.0;58.0;67.0;31.0;51.0;34.0;6.0;5.0;6.0;5.0
2023-10-09;33.0;49.0;8.0;26.0;57.0;64.0;35.0;28.0;8.0;4.0;32.0;44.0;47.0;62.0;39.0;36.0;45.0;39.0;66.0;109.0;74.0;44.0;45.0;72.0;40.0;67.0;73.0;32.0;59.0;40.0;6.0;8.0;6.0;7.0
2023-10-10;36.0;48.0;8.0;31.0;57.0;64.0;35.0;31.0;10.0;3.0;37.0;43.0;22.0;55.0;42.0;35.0;50.0;40.0;70.0;107.0;68.0;37.0;41.0;94.0;41.0;62.0;82.0;32.0;60.0;30.0;6.0;7.0;10.0;11.0
2023-10-11;37.0;43.0;9.0;30.0;51.0;58.0;38.0;31.0;12.0;2.0;38.0;36.0;36.0;58.0;45.0;40.0;47.0;31.0;70.0;103.0;62.0;49.0;45.0;92.0;53.0;64.0;71.0;32.0;59.0;28.0;7.0;2.0;6.0;10.0
2023-10-12;35.0;44.0;11.0;25.0;55.0;56.0;39.0;32.0;8.0;8.0;34.0;43.0;51.0;59.0;37.0;33.0;47.0;53.0;73.0;106.0;65.0;43.0;52.0;93.0;55.0;67.0;74.0;40.0;58.0;41.0;7.0;9.0;5.0;7.0
2023-10-13;35.0;39.0;11.0;23.0;54.0;58.0;38.0;35.0;9.0;8.0;45.0;34.0;40.0;57.0;30.0;38.0;44.0;54.0;63.0;107.0;63.0;33.0;45.0;85.0;46.0;73.0;79.0;36.0;57.0;33.0;10.0;7.0;4.0;7.0
2023-10-14;30.0;36.0;8.0;24.0;55.0;51.0;36.0;33.0;7.0;4.0;39.0;33.0;33.0;51.0;31.0;34.0;36.0;39.0;61.0;85.0;51.0;30.0;53.0;88.0;52.0;52.0;63.0;34.0;52.0;25.0;3.0;3.0;3.0;5.0
