BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;2.4;0.5;9.0;4.0;3.0;2
BS011;0.9;0.9;1.0;1.0;1.0;0
BS016;18.8;0.9333333333333333;31.0;31.0;1.0;12
BS059;0.5333333333333333;0.26666666666666666;4.0;1.0;4.0;0
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;0.8666666666666667;0.8333333333333334;2.0;2.0;1.0;0
BS086;0.36666666666666664;0.3;3.0;2.0;2.0;1
BS087;20.433333333333334;0.7666666666666667;31.0;31.0;1.0;13
BS097;23.533333333333335;1.0;31.0;31.0;1.0;16
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;0.16666666666666666;0.16666666666666666;1.0;1.0;1.0;0
BS121;0.6;0.3333333333333333;4.0;2.0;3.0;1
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;0.4666666666666667;0.23333333333333334;3.0;2.0;2.0;1
BS137;0.03333333333333333;0.03333333333333333;1.0;1.0;1.0;0
BS142;0.0;0.0;0.0;0.0;0.0;0
BS151;2.1666666666666665;1.0;4.0;1.0;4.0;0
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;0.26666666666666666;0.26666666666666666;1.0;1.0;1.0;0
BS229;1.0;1.0;1.0;1.0;1.0;0
BS233;1.0;1.0;1.0;1.0;1.0;0
BS247;0.0;0.0;0.0;0.0;0.0;0
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;0.0;0.0;0.0;0.0;0.0;0
BS264;0.0;0.0;0.0;0.0;0.0;0
BS268;0.0;0.0;0.0;0.0;0.0;0
BS270;6.7;1.0;12.0;6.0;4.0;3
BS279;24.7;0.9666666666666667;31.0;31.0;1.0;12
BS284;25.1;1.0;31.0;31.0;1.0;15
BS289;24.033333333333335;0.9333333333333333;31.0;31.0;1.0;15
BS290;23.766666666666666;0.9666666666666667;31.0;31.0;1.0;15
