BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;1.0;0.9333333333333333;2.0;1.0;2.0;2
BS011;0.13333333333333333;0.13333333333333333;1.0;1.0;1.0;0
BS016;17.966666666666665;0.9333333333333333;30.0;30.0;1.0;12
BS059;0.19999999999999998;0.16666666666666666;2.0;1.0;2.0;0
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;7.133333333333333;0.8;21.0;17.0;3.0;0
BS086;0.06666666666666667;0.03333333333333333;2.0;1.0;2.0;1
BS087;21.4;0.9666666666666667;30.0;30.0;1.0;13
BS097;25.3;1.0;30.0;30.0;1.0;16
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;1.1666666666666667;1.0;2.0;1.0;2.0;0
BS121;0.0;0.0;0.0;0.0;0.0;1
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;10.033333333333333;1.0;24.0;10.0;3.0;1
BS137;4.066666666666666;0.4666666666666667;18.0;7.0;4.0;0
BS142;1.2333333333333334;0.36666666666666664;10.0;4.0;5.0;0
BS151;0.9333333333333333;0.8666666666666667;2.0;1.0;2.0;0
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;6.3;1.0;12.0;8.0;2.0;0
BS229;1.4;0.3;6.0;5.0;2.0;0
BS233;0.0;0.0;0.0;0.0;0.0;0
BS247;0.6666666666666666;0.36666666666666664;3.0;2.0;2.0;0
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;1.0333333333333332;0.7666666666666667;2.0;1.0;2.0;0
BS264;0.5333333333333333;0.5333333333333333;1.0;1.0;1.0;0
BS268;2.533333333333333;1.0;3.0;3.0;1.0;0
BS270;10.3;1.0;17.0;10.0;5.0;3
BS279;22.833333333333332;0.9333333333333333;30.0;30.0;1.0;12
BS284;25.333333333333336;1.0;30.0;30.0;1.0;15
BS289;23.233333333333334;0.9666666666666667;30.0;30.0;1.0;15
BS290;24.366666666666667;1.0;30.0;30.0;1.0;15
