BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;0.0;0.0;0.0;0.0;0.0;0
BS011;0.0;0.0;0.0;0.0;0.0;0
BS016;19.444444444444443;0.8518518518518519;31.0;31.0;1.0;12
BS059;1.4444444444444444;0.48148148148148145;8.0;4.0;5.0;1
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;22.666666666666664;0.8888888888888888;31.0;31.0;1.0;14
BS086;0.0;0.0;0.0;0.0;0.0;0
BS087;20.51851851851852;0.8888888888888888;31.0;31.0;1.0;13
BS097;9.0;0.9259259259259259;11.0;11.0;1.0;3
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;3.4074074074074074;0.5185185185185185;14.0;4.0;8.0;4
BS121;0.0;0.0;0.0;0.0;0.0;0
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;3.1111111111111107;0.48148148148148145;13.0;5.0;5.0;3
BS137;2.0370370370370368;0.37037037037037035;10.0;7.0;3.0;4
BS142;2.6296296296296293;0.5925925925925926;8.0;4.0;4.0;2
BS151;2.185185185185185;0.8518518518518519;10.0;6.0;4.0;3
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;6.37037037037037;0.8888888888888888;20.0;18.0;2.0;8
BS229;1.3333333333333333;0.5185185185185185;8.0;6.0;3.0;3
BS233;0.0;0.0;0.0;0.0;0.0;0
BS247;1.8518518518518516;0.7407407407407407;7.0;1.0;7.0;0
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;0.07407407407407407;0.07407407407407407;1.0;1.0;1.0;0
BS264;0.9629629629629629;0.9629629629629629;1.0;1.0;1.0;0
BS268;0.0;0.0;0.0;0.0;0.0;0
BS270;2.6666666666666665;0.6296296296296297;8.0;5.0;2.0;4
BS279;22.22222222222222;0.9629629629629629;28.0;28.0;1.0;10
BS284;26.555555555555554;0.9629629629629629;30.0;30.0;1.0;9
BS289;23.14814814814815;0.9259259259259259;30.0;30.0;1.0;14
BS290;24.074074074074073;0.9629629629629629;28.0;28.0;1.0;12
