BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;2.2962962962962963;0.5555555555555556;8.0;3.0;4.0;0
BS011;0.8888888888888888;0.8888888888888888;1.0;1.0;1.0;0
BS016;18.444444444444443;0.9259259259259259;31.0;31.0;1.0;13
BS059;0.6296296296296295;0.3333333333333333;4.0;1.0;4.0;0
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;0.8888888888888888;0.8148148148148148;2.0;1.0;2.0;0
BS086;0.25925925925925924;0.2222222222222222;2.0;1.0;2.0;0
BS087;19.925925925925924;0.8148148148148148;31.0;31.0;1.0;8
BS097;21.48148148148148;0.9259259259259259;29.0;29.0;1.0;16
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;0.1111111111111111;0.1111111111111111;1.0;1.0;1.0;0
BS121;0.7407407407407407;0.2962962962962963;5.0;3.0;3.0;2
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;0.7037037037037037;0.25925925925925924;4.0;2.0;3.0;1
BS137;0.0;0.0;0.0;0.0;0.0;0
BS142;0.0;0.0;0.0;0.0;0.0;0
BS151;1.074074074074074;0.8518518518518519;4.0;2.0;3.0;1
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;0.2222222222222222;0.2222222222222222;1.0;1.0;1.0;0
BS229;0.0;0.0;0.0;0.0;0.0;0
BS233;0.0;0.0;0.0;0.0;0.0;0
BS247;0.0;0.0;0.0;0.0;0.0;0
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;0.0;0.0;0.0;0.0;0.0;0
BS264;0.0;0.0;0.0;0.0;0.0;0
BS268;0.0;0.0;0.0;0.0;0.0;0
BS270;4.592592592592593;0.9629629629629629;11.0;4.0;5.0;3
BS279;24.0;0.9629629629629629;31.0;31.0;1.0;12
BS284;23.62962962962963;0.9629629629629629;30.0;30.0;1.0;14
BS289;23.37037037037037;0.9259259259259259;31.0;31.0;1.0;15
BS290;23.14814814814815;0.9629629629629629;31.0;31.0;1.0;13
