BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;3.0;1.0;3.0;3.0;1.0;2
BS011;0.0;0.0;0.0;0.0;0.0;0
BS016;20.266666666666666;0.8666666666666667;31.0;31.0;1.0;12
BS059;1.3666666666666667;0.5333333333333333;8.0;3.0;5.0;0
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;23.366666666666667;0.9;31.0;31.0;1.0;0
BS086;0.0;0.0;0.0;0.0;0.0;1
BS087;20.8;0.9;31.0;31.0;1.0;13
BS097;12.933333333333334;1.0;15.0;12.0;2.0;16
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;3.7;0.5333333333333333;15.0;4.0;8.0;0
BS121;0.0;0.0;0.0;0.0;0.0;1
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;3.2666666666666666;0.5333333333333333;13.0;6.0;5.0;1
BS137;1.9333333333333333;0.4;8.0;4.0;3.0;0
BS142;3.1333333333333333;0.6333333333333333;10.0;4.0;6.0;0
BS151;3.5666666666666664;1.0;10.0;5.0;4.0;0
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;11.566666666666666;1.0;24.0;22.0;2.0;0
BS229;1.4000000000000001;0.5;6.0;5.0;2.0;0
BS233;0.0;0.0;0.0;0.0;0.0;0
BS247;1.9333333333333333;0.7666666666666667;7.0;1.0;7.0;0
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;0.0;0.0;0.0;0.0;0.0;0
BS264;30.96666666666667;1.0;31.0;31.0;1.0;0
BS268;0.0;0.0;0.0;0.0;0.0;0
BS270;24.866666666666667;1.0;30.0;25.0;2.0;3
BS279;25.7;1.0;31.0;31.0;1.0;12
BS284;27.833333333333336;1.0;31.0;31.0;1.0;15
BS289;24.766666666666666;1.0;31.0;31.0;1.0;15
BS290;27.433333333333334;1.0;31.0;31.0;1.0;15
