BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;0.0;0.0;0.0;0.0;0.0;0
BS011;0.0;0.0;0.0;0.0;0.0;0
BS016;19.560000000000002;0.84;31.0;31.0;1.0;13
BS059;1.84;0.48;10.0;6.0;5.0;2
BS060;0.0;0.0;0.0;0.0;0.0;0
BS061;0.0;0.0;0.0;0.0;0.0;0
BS084;22.0;0.88;31.0;31.0;1.0;15
BS086;0.0;0.0;0.0;0.0;0.0;0
BS087;20.240000000000002;0.88;31.0;31.0;1.0;13
BS097;9.48;0.96;11.0;11.0;1.0;4
BS102;0.0;0.0;0.0;0.0;0.0;0
BS105;4.0;0.52;20.0;9.0;7.0;7
BS121;0.0;0.0;0.0;0.0;0.0;0
BS126;0.0;0.0;0.0;0.0;0.0;0
BS128;3.2;0.48;14.0;5.0;5.0;4
BS137;1.9200000000000002;0.4;10.0;7.0;3.0;4
BS142;2.6;0.6;8.0;4.0;5.0;1
BS151;2.08;0.84;10.0;6.0;4.0;3
BS162;0.0;0.0;0.0;0.0;0.0;0
BS199;0.0;0.0;0.0;0.0;0.0;0
BS218;0.0;0.0;0.0;0.0;0.0;0
BS221;6.5600000000000005;0.88;22.0;18.0;3.0;8
BS229;1.4;0.48;8.0;5.0;4.0;2
BS233;0.0;0.0;0.0;0.0;0.0;0
BS247;1.76;0.72;7.0;2.0;6.0;1
BS253;0.0;0.0;0.0;0.0;0.0;0
BS259;0.12;0.12;1.0;1.0;1.0;0
BS264;0.96;0.96;1.0;1.0;1.0;0
BS268;0.0;0.0;0.0;0.0;0.0;0
BS270;2.52;0.6;8.0;5.0;2.0;4
BS279;22.04;0.96;28.0;28.0;1.0;11
BS284;26.56;0.96;30.0;30.0;1.0;12
BS289;23.0;0.92;30.0;30.0;1.0;13
BS290;24.16;0.96;28.0;28.0;1.0;11
