BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;1.84;0.96;3.0;1.0;3;0
BS011;0.76;0.64;2.0;1.0;2;0
BS016;17.4;0.92;30.0;30.0;1;12
BS059;1.48;0.96;5.0;2.0;4;0
BS060;0.92;0.92;1.0;1.0;1;0
BS061;0.8;0.8;1.0;1.0;1;0
BS084;6.88;0.8;18.0;10.0;5;8
BS086;0.4;0.16;3.0;2.0;2;0
BS087;20.72;0.96;30.0;30.0;1;8
BS097;25.08;0.96;29.0;29.0;1;11
BS102;0.68;0.68;1.0;1.0;1;0
BS105;0.12000000000000001;0.08;2.0;1.0;2;0
BS121;0.88;0.88;1.0;1.0;1;0
BS126;0.36;0.36;1.0;1.0;1;0
BS128;7.68;0.88;22.0;10.0;4;9
BS137;4.44;0.76;19.0;8.0;5;10
BS142;1.2;0.84;3.0;1.0;3;0
BS151;1.6;0.84;2.0;1.0;2;0
BS162;0.68;0.68;1.0;1.0;1;0
BS199;0.72;0.72;1.0;1.0;1;0
BS218;0.76;0.76;1.0;1.0;1;0
BS221;6.44;0.84;17.0;7.0;6;8
BS229;1.72;0.84;6.0;4.0;3;0
BS233;0.48;0.48;1.0;1.0;1;0
BS247;1.44;0.88;3.0;1.0;3;0
BS253;0.76;0.76;1.0;1.0;1;0
BS259;1.48;0.72;3.0;1.0;3;0
BS264;1.24;0.76;2.0;1.0;2;0
BS268;2.44;0.96;4.0;2.0;3;1
BS270;3.08;0.92;12.0;4.0;6;3
BS279;22.0;0.92;30.0;30.0;1;14
BS284;23.64;0.96;29.0;29.0;1;13
BS289;22.2;0.96;30.0;30.0;1;12
BS290;22.8;0.96;29.0;29.0;1;12
