BSS;MVM1;MVM2;TVM1;TVM2;FVM1;FVM2
BS007;3.28;0.96;10.0;4.0;4.0;2
BS011;1.6800000000000002;0.92;2.0;1.0;2.0;0
BS016;18.36;0.96;31.0;31.0;1.0;12
BS059;1.6800000000000002;0.8;8.0;3.0;6.0;1
BS060;0.96;0.96;1.0;1.0;1.0;0
BS061;0.92;0.92;1.0;1.0;1.0;0
BS084;1.72;0.84;3.0;1.0;3.0;0
BS086;0.2;0.2;1.0;1.0;1.0;0
BS087;19.44;0.8;31.0;31.0;1.0;11
BS097;22.96;0.92;29.0;29.0;1.0;14
BS102;0.8;0.8;1.0;1.0;1.0;0
BS105;1.0;0.92;2.0;1.0;2.0;0
BS121;1.56;0.76;6.0;2.0;5.0;1
BS126;0.64;0.64;1.0;1.0;1.0;0
BS128;0.52;0.24;4.0;2.0;3.0;1
BS137;0.88;0.88;1.0;1.0;1.0;0
BS142;0.68;0.68;1.0;1.0;1.0;0
BS151;1.92;0.84;4.0;2.0;3.0;1
BS162;0.64;0.64;1.0;1.0;1.0;0
BS199;0.56;0.56;1.0;1.0;1.0;0
BS218;0.6;0.6;1.0;1.0;1.0;0
BS221;1.08;0.84;2.0;1.0;2.0;0
BS229;0.0;0.0;0.0;0.0;0.0;0
BS233;0.52;0.52;1.0;1.0;1.0;0
BS247;0.84;0.84;1.0;1.0;1.0;0
BS253;0.68;0.68;1.0;1.0;1.0;0
BS259;0.52;0.52;1.0;1.0;1.0;0
BS264;0.96;0.96;1.0;1.0;1.0;0
BS268;0.92;0.92;1.0;1.0;1.0;0
BS270;5.2;0.96;11.0;4.0;5.0;3
BS279;23.68;0.96;31.0;31.0;1.0;10
BS284;23.4;0.96;30.0;30.0;1.0;14
BS289;23.0;0.92;31.0;31.0;1.0;14
BS290;22.84;0.96;31.0;31.0;1.0;13
